L,N,N_test,center_G,center_pred,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9766666666666667,0.8900000000000001,0.9000000000000341,0.9766666666666667,0.9833333333333333,15.0,223,288,256,244,1.0,0.87109375,1.0,0.8688524590163934,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,238,275,256,244,1.0,0.9296875,1.0,0.9221311475409836,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.95,0.6033333333333335,0.9000000000000341,0.95,0.9933333333333333,18.0,0,499,255,245,1.0,0.0,1.0,0.004081632653061273,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,167,345,255,245,0.9640718562874252,0.6313725490196078,0.9806451612903225,0.6204081632653061,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9633333333333334,0.8599999999999999,0.9000000000000341,0.9633333333333334,0.99,22.0,171,319,261,239,1.0,0.6551724137931034,1.0,0.7573221757322176,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,207,289,261,239,1.0,0.7931034482758621,1.0,0.8828451882845189,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,False,True,0.9000000000000341,0.9666666666666667,0.72,0.9000000000000341,0.9666666666666667,0.99,23.0,1,497,244,256,1.0,0.004098360655737654,1.0,0.01171875,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,50,425,244,256,0.96,0.19672131147540983,0.9066666666666666,0.265625,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.95,0.8500000000000001,0.9000000000000341,0.95,0.97,10.0,198,279,252,248,1.0,0.7857142857142857,1.0,0.8911290322580645,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,222,258,252,248,1.0,0.8809523809523809,0.9834710743801653,0.9596774193548387,naive_on_mean
