L,N,N_test,boundary_point_ind,center_G,center_pred,closest_point_ind,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,True,True,0.9000000000000341,0.98,0.7333333333333334,0.9000000000000341,0.98,1.0,10.0,170,286,269,231,1.0,0.6319702602230484,0.9439252336448598,0.8744588744588745,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,183,275,269,231,1.0,0.6802973977695168,0.9377777777777778,0.9134199134199135,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,False,True,0.9000000000000341,0.9766666666666667,0.73,0.9000000000000341,0.9766666666666667,0.99,12.0,248,347,245,255,0.9516129032258065,0.963265306122449,1.0,0.6,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,260,336,245,255,0.926923076923077,0.9836734693877551,1.0,0.6431372549019607,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.8999999999999773,0.96,0.7733333333333334,0.8999999999999773,0.96,0.9933333333333333,27.0,176,305,234,266,1.0,0.7521367521367521,1.0,0.7330827067669172,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,192,291,234,266,1.0,0.8205128205128205,1.0,0.7857142857142857,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,True,True,0.8999999999999773,0.9766666666666667,0.7033333333333334,0.8999999999999773,0.9766666666666667,0.9933333333333333,10.0,149,273,247,253,1.0,0.6032388663967612,0.9911894273127754,0.8893280632411067,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,158,258,247,253,1.0,0.6396761133603239,0.9793388429752066,0.9367588932806324,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.9733333333333334,0.7533333333333334,0.9000000000000341,0.9733333333333334,1.0,17.0,212,305,254,246,1.0,0.8346456692913385,1.0,0.7926829268292683,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,218,295,254,246,1.0,0.8582677165354331,1.0,0.8333333333333334,naive_on_mean
